,BuildingType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,GFABuildingRate,GFAParkingRate,Distance_from_SeattleKM,Log_SiteEnergyUse,GFAPerBuilding,GFAPerFloor
2073,NonResidential,Lake Union,1960.0,1.0,2.0,34110,Office,34110.0,1.0,0.0,3.3172371830624536,14.761772046050234,34110.0,17055.0
2074,Multifamily LR (1-4),Lake Union,1994.0,1.0,4.0,42712,Multifamily,42712.0,0.0,0.0,3.2740557265684296,13.67340076153558,42712.0,10678.0
2075,Multifamily LR (1-4),Lake Union,1999.0,1.0,3.0,43969,Multifamily,27072.0,0.0,0.0,3.2636331117446438,13.538231024335246,43969.0,14656.333
2076,Multifamily MR (5-9),Ballard,2007.0,1.0,8.0,128571,Multifamily,69438.0,0.0,0.0,7.784620690428551,15.001901554148631,128571.0,16071.375
2077,Multifamily LR (1-4),Southwest,1925.0,1.0,3.0,21239,Multifamily,21239.0,1.0,0.0,6.481222839866489,12.861183823390196,21239.0,7079.667
2078,Multifamily MR (5-9),Southwest,1997.0,1.0,5.0,26843,Multifamily,21815.0,0.8126885966546213,0.18731140334537869,6.444119757583686,13.427332968386828,26843.0,5368.6
2079,Multifamily LR (1-4),Southwest,1969.0,1.0,4.0,26280,Multifamily,24695.0,0.0,0.0,6.523443276625721,13.604581017257729,26280.0,6570.0
2080,Multifamily LR (1-4),Southwest,1980.0,1.0,4.0,26970,Multifamily,26970.0,1.0,0.0,8.783321861433183,13.467367240974264,26970.0,6742.5
2081,Multifamily MR (5-9),East,2005.0,1.0,5.0,46225,Multifamily,39865.0,0.0,0.0,1.571284590152887,14.34381891426795,46225.0,9245.0
2082,NonResidential,Downtown,1902.0,1.0,4.0,27838,Office,27838.0,1.0,0.0,0.7192915454353779,14.2288312301755,27838.0,6959.5
2083,Multifamily LR (1-4),East,1928.0,1.0,4.0,34040,Multifamily,25729.0,0.0,0.0,1.8335020728120301,13.858595130922389,34040.0,8510.0
2084,NonResidential,Greater Duwamish,1970.0,1.0,1.0,23750,Non-Refrige,19430.0,1.0,0.0,3.1542163479487515,13.088522815248059,23750.0,23750.0
2085,NonResidential,Greater Duwamish,1970.0,1.0,1.0,43390,Non-Refrige,36430.0,1.0,0.0,3.128529055175538,13.223798172494677,43390.0,43390.0
2086,NonResidential,Greater Duwamish,1959.0,1.0,1.0,35400,Other,28500.0,1.0,0.0,2.6741313020198065,14.229555586394698,35400.0,35400.0
2087,NonResidential,Greater Duwamish,1966.0,1.0,1.0,28144,Distributio,22201.0,1.0,0.0,2.3537020565289493,13.581547909466188,28144.0,28144.0
2088,NonResidential,Greater Duwamish,1916.0,1.0,3.0,71283,Non-Refrige,57910.0,1.0,0.0,2.4631767380188436,14.847034321440734,71283.0,23761.0
2089,NonResidential,Greater Duwamish,1989.0,1.0,1.0,23792,Non-Refrige,22992.0,1.0,0.0,2.1988611572515304,14.85597382465511,23792.0,23792.0
2090,NonResidential,Greater Duwamish,1979.0,1.0,2.0,47368,Office,47368.0,1.0,0.0,1.9388310178574368,9.602733762586281,47368.0,23684.0
2091,NonResidential,Greater Duwamish,1931.0,1.0,1.0,46183,Non-Refrige,18871.0,1.0,0.0,1.9844704503147403,14.304763046008636,46183.0,46183.0
2092,NonResidential,Central,1984.0,1.0,5.0,72613,Office,49825.0,0.6861718975940947,0.31382810240590525,1.3820537224787912,14.800434509991925,72613.0,14522.6
2093,Multifamily LR (1-4),Central,1962.0,1.0,2.0,20931,Multifamily,20931.0,0.0,0.0,1.7120159384739444,14.320969255511947,20931.0,10465.5
2094,SPS-District K-12,Southeast,1989.0,1.0,3.0,51672,K-12 School,51672.0,1.0,0.0,5.7807147313845855,14.31041150445671,51672.0,17224.0
2095,Nonresidential COS,Southeast,1990.0,1.0,2.0,38352,Medical Off,19987.0,0.7110450563204005,0.2889549436795995,5.873354905385381,14.63603911790105,38352.0,19176.0
2096,Multifamily LR (1-4),Southeast,1966.0,1.0,2.0,21300,Multifamily,21300.0,0.0,0.0,5.840677999115675,13.39314423813003,21300.0,10650.0
2097,Nonresidential COS,Southeast,1995.0,1.0,1.0,28425,Fitness Cen,14081.0,1.0,0.0,6.200417887375738,14.809827689204822,28425.0,28425.0
2098,Multifamily LR (1-4),Northwest,1987.0,1.0,4.0,70094,Multifamily,45929.0,0.0,0.0,11.001353505576901,14.177133664529254,70094.0,17523.5
2099,Multifamily LR (1-4),North,1987.0,1.0,4.0,134490,Multifamily,93472.0,0.0,0.0,12.71336139185071,14.747387393019135,134490.0,33622.5
2100,Multifamily LR (1-4),North,1976.0,1.0,3.0,36172,Multifamily,27172.0,0.0,0.0,12.61657792625565,13.62241643487422,36172.0,12057.333
2101,NonResidential,North,2009.0,1.0,3.0,35115,Automobile,35115.0,1.0,0.0,12.245911149845073,14.559748468647015,35115.0,11705.0
2102,Multifamily LR (1-4),Northwest,1985.0,1.0,4.0,38100,Multifamily,32432.0,0.0,0.0,10.577134194651702,13.943708283089318,38100.0,9525.0
2103,NonResidential,Northwest,1972.0,1.0,1.0,66704,Other - Edu,23904.0,1.0,0.0,10.190676251076182,13.352176636683474,66704.0,66704.0
2104,Nonresidential COS,Northwest,1969.0,1.0,1.0,25658,Office,29500.0,1.0,0.0,10.590778224295287,14.011370472883154,25658.0,25658.0
2105,Multifamily LR (1-4),East,1908.0,1.0,3.0,23490,Multifamily,23490.0,1.0,0.0,1.8513235745599306,14.384178324274462,23490.0,7830.0
